,instrument,repetition,trial,counter_e,counter_f,latency_e,latency_f,key,correct_side,answer,time,last_correct_answer,participant_id
0,Keyboard,0,0,0,0,0.256,0.0,e,e,1,1736943367.79,0.256,0
1,Keyboard,1,0,0,0,0.256,0.0,f,e,0,0.72,0.256,0
2,Keyboard,2,0,0,0,0.0,0.256,e,f,0,1736943368.18,0.256,0
3,Keyboard,3,0,0,0,0.0,0.256,f,f,1,1.01,0.256,0
4,Keyboard,4,0,0,0,0.0,0.256,f,f,1,1736943368.74,0.256,0
5,Keyboard,5,0,0,0,0.0,0.256,e,f,0,1.16,0.256,0
6,Keyboard,6,0,0,0,0.0,0.256,f,f,1,1736943368.82,0.256,0
7,Keyboard,7,0,0,0,0.256,0.0,f,e,0,1.36,0.256,0
8,Keyboard,8,0,0,0,0.256,0.0,e,e,1,1736943368.91,0.256,0
9,Keyboard,9,0,0,0,0.256,0.0,f,e,0,1.42,0.256,0
10,Keyboard,0,1,0,0,0.0,0.384,e,f,0,1736943369.06,0.256,0
11,Keyboard,1,1,0,0,0.0,0.384,f,f,1,1.55,0.256,0
12,Keyboard,2,1,0,0,0.384,0.0,f,e,0,1736943369.21,0.256,0
13,Keyboard,3,1,0,0,0.0,0.384,f,f,1,1.72,0.256,0
14,Keyboard,4,1,0,0,0.384,0.0,e,e,1,1736943369.34,0.256,0
15,Keyboard,5,1,0,0,0.384,0.0,e,e,1,1.85,0.256,0
16,Keyboard,6,1,0,0,0.384,0.0,f,e,0,1736943369.42,0.256,0
17,Keyboard,7,1,0,0,0.384,0.0,f,e,0,2.02,0.256,0
18,Keyboard,8,1,0,0,0.0,0.384,e,f,0,1736943369.56,0.256,0
19,Keyboard,9,1,0,0,0.384,0.0,f,e,0,2.11,0.256,0
20,Keyboard,0,2,0,0,0.0,0.448,f,f,1,1736943369.71,0.256,0
21,Keyboard,1,2,0,0,0.448,0.0,f,e,0,2.25,0.256,0
22,Keyboard,2,2,0,0,0.448,0.0,e,e,1,1736943369.83,0.256,0
23,Keyboard,3,2,0,0,0.0,0.448,f,f,1,2.36,0.256,0
24,Keyboard,4,2,0,0,0.0,0.448,f,f,1,1736943369.97,0.256,0
25,Keyboard,5,2,0,0,0.0,0.448,e,f,0,2.44,0.256,0
26,Keyboard,6,2,0,0,0.448,0.0,f,e,0,1736943370.12,0.256,0
